occupation_code,occupation_name,weekly_pay,year,occ_clean
33-1011,First-Line Supervisors of Correctional Officers,70530.0,2023,first line supervisors of correctional officers
33-1012,First-Line Supervisors of Police and Detectives,101750.0,2023,first line supervisors of police detectives
33-1020,First-Line Supervisors of Firefighting and Prevention Workers,86220.0,2023,first line supervisors of firefighting prevention workers
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,86220.0,2023,first line supervisors of firefighting prevention workers
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",57590.0,2023,miscellaneous first line supervisors protective service workers
33-1091,First-Line Supervisors of Security Workers,54580.0,2023,first line supervisors of security workers
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",65050.0,2023,first line supervisors of protective service workers all other
33-2000,Firefighting and Prevention Workers,57900.0,2023,firefighting prevention workers
33-2010,Firefighters,57120.0,2023,firefighters
33-2011,Firefighters,57120.0,2023,firefighters
33-2020,Fire Inspectors,71420.0,2023,fire inspectors
33-2021,Fire Inspectors and Investigators,74160.0,2023,fire inspectors investigators
33-2022,Forest Fire Inspectors and Prevention Specialists,54080.0,2023,forest fire inspectors prevention specialists
33-3000,Law Enforcement Workers,66030.0,2023,law enforcement workers
33-3010,"Bailiffs, Correctional Officers, and Jailers",53290.0,2023,bailiffs correctional officers jailers
33-3011,Bailiffs,53040.0,2023,bailiffs
33-3012,Correctional Officers and Jailers,53300.0,2023,correctional officers jailers
33-3020,Detectives and Criminal Investigators,91100.0,2023,detectives criminal investigators
33-3021,Detectives and Criminal Investigators,91100.0,2023,detectives criminal investigators
33-3030,Fish and Game Wardens,60380.0,2023,fish game wardens
33-3031,Fish and Game Wardens,60380.0,2023,fish game wardens
33-3040,Parking Enforcement Workers,46840.0,2023,parking enforcement workers
33-3041,Parking Enforcement Workers,46840.0,2023,parking enforcement workers
33-3050,Police Officers,72260.0,2023,police officers
33-3051,Police and Sheriff's Patrol Officers,72280.0,2023,police sheriff's patrol officers
33-3052,Transit and Railroad Police,72250.0,2023,transit railroad police
33-9000,Other Protective Service Workers,36920.0,2023,other protective service workers
33-9010,Animal Control Workers,43170.0,2023,animal control workers
33-9011,Animal Control Workers,43170.0,2023,animal control workers
33-9020,Private Detectives and Investigators,49540.0,2023,private detectives investigators
33-9021,Private Detectives and Investigators,49540.0,2023,private detectives investigators
33-9030,Security Guards and Gambling Surveillance Officers,37090.0,2023,security guards gambling surveillance officers
33-9031,Gambling Surveillance Officers and Gambling Investigators,39210.0,2023,gambling surveillance officers gambling investigators
33-9032,Security Guards,37070.0,2023,security guards
33-9090,Miscellaneous Protective Service Workers,35730.0,2023,miscellaneous protective service workers
33-9091,Crossing Guards and Flaggers,36370.0,2023,crossing guards flaggers
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",30380.0,2023,lifeguards ski patrol other recreational protective service workers
33-9093,Transportation Security Screeners,50020.0,2023,transportation security screeners
33-9094,School Bus Monitors,33130.0,2023,school bus monitors
33-9099,"Protective Service Workers, All Other",39360.0,2023,protective service workers all other
35-0000,Food Preparation and Serving Related Occupations,32240.0,2023,food preparation serving related occupations
35-1000,Supervisors of Food Preparation and Serving Workers,40950.0,2023,supervisors of food preparation serving workers
35-1010,Supervisors of Food Preparation and Serving Workers,40950.0,2023,supervisors of food preparation serving workers
35-1011,Chefs and Head Cooks,58920.0,2023,chefs head cooks
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,38520.0,2023,first line supervisors of food preparation serving workers
35-2000,Cooks and Food Preparation Workers,34020.0,2023,cooks food preparation workers
35-2010,Cooks,34320.0,2023,cooks
35-2011,"Cooks, Fast Food",29260.0,2023,cooks fast food
35-2012,"Cooks, Institution and Cafeteria",35320.0,2023,cooks institution cafeteria
35-2013,"Cooks, Private Household",42590.0,2023,cooks private household
35-2014,"Cooks, Restaurant",35780.0,2023,cooks restaurant
35-2015,"Cooks, Short Order",34130.0,2023,cooks short order
35-2019,"Cooks, All Other",35920.0,2023,cooks all other
35-2020,Food Preparation Workers,32420.0,2023,food preparation workers
35-2021,Food Preparation Workers,32420.0,2023,food preparation workers
35-3000,Food and Beverage Serving Workers,30160.0,2023,food beverage serving workers
35-3010,Bartenders,31510.0,2023,bartenders
35-3011,Bartenders,31510.0,2023,bartenders
35-3020,Fast Food and Counter Workers,29540.0,2023,fast food counter workers
35-3023,Fast Food and Counter Workers,29540.0,2023,fast food counter workers
35-3030,Waiters and Waitresses,31940.0,2023,waiters waitresses
35-3031,Waiters and Waitresses,31940.0,2023,waiters waitresses
35-3040,"Food Servers, Nonrestaurant",33110.0,2023,food servers nonrestaurant
35-3041,"Food Servers, Nonrestaurant",33110.0,2023,food servers nonrestaurant
35-9000,Other Food Preparation and Serving Related Workers,30620.0,2023,other food preparation serving related workers
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,31180.0,2023,dining room cafeteria attendants bartender helpers
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,31180.0,2023,dining room cafeteria attendants bartender helpers
35-9020,Dishwashers,31200.0,2023,dishwashers
35-9021,Dishwashers,31200.0,2023,dishwashers
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",29220.0,2023,hosts hostesses restaurant lounge coffee shop
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",29220.0,2023,hosts hostesses restaurant lounge coffee shop
35-9090,Miscellaneous Food Preparation and Serving Related Workers,33870.0,2023,miscellaneous food preparation serving related workers
35-9099,"Food Preparation and Serving Related Workers, All Other",33870.0,2023,food preparation serving related workers all other
37-0000,Building and Grounds Cleaning and Maintenance Occupations,35990.0,2023,building grounds cleaning maintenance occupations
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,49310.0,2023,supervisors of building grounds cleaning maintenance workers
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,49310.0,2023,first line supervisors of building grounds cleaning maintenance workers
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,46650.0,2023,first line supervisors of housekeeping janitorial workers
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",55740.0,2023,first line supervisors of landscaping lawn service groundskeeping workers
37-2000,Building Cleaning and Pest Control Workers,34780.0,2023,building cleaning pest control workers
37-2010,Building Cleaning Workers,34600.0,2023,building cleaning workers
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",35020.0,2023,janitors cleaners except maids housekeeping cleaners
37-2012,Maids and Housekeeping Cleaners,33450.0,2023,maids housekeeping cleaners
37-2019,"Building Cleaning Workers, All Other",39900.0,2023,building cleaning workers all other
37-2020,Pest Control Workers,43470.0,2023,pest control workers
37-2021,Pest Control Workers,43470.0,2023,pest control workers
37-3000,Grounds Maintenance Workers,37690.0,2023,grounds maintenance workers
37-3010,Grounds Maintenance Workers,37690.0,2023,grounds maintenance workers
37-3011,Landscaping and Groundskeeping Workers,37360.0,2023,landscaping groundskeeping workers
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",44070.0,2023,pesticide handlers sprayers applicators vegetation
37-3013,Tree Trimmers and Pruners,49070.0,2023,tree trimmers pruners
37-3019,"Grounds Maintenance Workers, All Other",43310.0,2023,grounds maintenance workers all other
39-0000,Personal Care and Service Occupations,34260.0,2023,personal care service occupations
39-1000,Supervisors of Personal Care and Service Workers,47550.0,2023,supervisors of personal care service workers
