occupation_name_bls,bls_outlook,bls_url
City Collector,,https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm
City Planner,,https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm
City Surveyor,,https://www.bls.gov/ooh/architecture-and-engineering/surveyors.htm
Civil Engineering Technician,Slower than average,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm
Clean Room Technician,Faster than average,https://www.bls.gov/ooh/production/semiconductor-processing-technicians.htm
Clinical Dietitian,Faster than average,https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm
Clinical Epidemiologist,Faster than average,https://www.bls.gov/ooh/life-physical-and-social-science/epidemiologists.htm
Clinical Rehabilitation Aide,Faster than average,https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm
Coal Tram Driver,Slower than average,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm
Cocktail Server,,https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm
Combination Slasher-Loader Operator,,https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm
Commodities Broker,,https://www.bls.gov/ooh/sales/securities-commodities-and-financial-services-sales-agents.htm
Communication Manager,Faster than average,https://www.bls.gov/ooh/management/public-relations-managers.htm
Compensation and benefits managers,Little or no change,https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm
Complaint Clerk,,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm
Composition Roofer,Faster than average,https://www.bls.gov/ooh/construction-and-extraction/roofers.htm
Computational Theory Scientist,Faster than average,https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm
Computed Axial Tomography Technologist,Faster than average,https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm
Computer Customer Support Specialist,,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm
Computer Hardware Designer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm
Computer network architects,Faster than average,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm
Computer Security Specialist,Faster than average,https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm
Computer Software Training Specialist,Faster than average,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm
Conservation Science Officer,,https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm
Construction Coordinator,Faster than average,https://www.bls.gov/ooh/management/construction-managers.htm
Construction Estimator,,https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm
Continuing Education Director,Slower than average,https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm
Corporate Financial Analyst,Faster than average,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm
Corporate Recruiter,Faster than average,https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm
Correctional Treatment Specialist,,https://www.bls.gov/ooh/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm
Corsage Maker,,https://www.bls.gov/ooh/arts-and-design/floral-designers.htm
Court Recording Monitor,Little or no change,https://www.bls.gov/ooh/legal/court-reporters.htm
Credit Counselor,,https://www.bls.gov/ooh/business-and-financial/credit-counselors.htm
Criminologist,,https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm
Crude Tester,Slower than average,https://www.bls.gov/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm
Cruise Director,Faster than average,https://www.bls.gov/ooh/personal-care-and-service/tour-and-travel-guides.htm
Crystallographer,,https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm
